Date,corn_price
2000-07-01,180.25
2000-08-01,182.0
2000-09-01,192.0
2000-11-01,205.0
2000-12-01,222.5
2001-01-01,208.5
2001-02-01,211.25
2001-03-01,206.5
2001-05-01,190.25
2001-06-01,197.25
2001-08-01,217.25
2001-09-01,211.75
2001-10-01,201.0
2001-11-01,202.0
2001-12-01,199.75
2002-01-01,206.5
2002-02-01,200.0
2002-03-01,207.0
2002-04-01,193.5
2002-05-01,214.0
2002-06-01,225.5
2002-07-01,247.25
2002-08-01,259.5
2002-10-01,247.5
2002-11-01,240.25
2003-01-01,238.25
2003-02-01,231.75
2003-03-01,236.5
2003-04-01,232.75
2003-05-01,244.25
2003-07-01,206.0
2003-08-01,233.25
2003-09-01,220.25
2003-10-01,247.25
2003-11-01,245.0
2003-12-01,246.0
2004-01-01,276.25
2004-03-01,320.0
2004-04-01,316.5
2004-05-01,304.0
2004-06-01,257.5
2004-07-01,217.25
2004-09-01,205.5
2004-10-01,202.5
2004-11-01,192.5
2004-12-01,204.75
2005-01-01,197.0
2005-02-01,214.5
2005-03-01,213.0
2005-04-01,204.75
2005-06-01,212.25
2005-07-01,236.5
2005-08-01,201.5
2005-09-01,205.5
2005-10-01,196.25
2005-11-01,187.5
2005-12-01,215.75
2006-02-01,228.0
2006-03-01,236.0
2006-04-01,238.25
2006-05-01,251.25
2006-06-01,235.5
2006-07-01,239.0
2006-08-01,232.0
2006-09-01,262.5
2006-11-01,377.0
2006-12-01,390.25
2007-01-01,404.0
2007-02-01,425.25
2007-03-01,374.5
2007-05-01,390.25
2007-06-01,329.5
2007-08-01,324.0
2007-09-01,373.0
2007-10-01,375.5
2007-11-01,384.5
2007-12-01,455.5
2008-01-01,501.25
2008-02-01,546.0
2008-03-01,567.25
2008-04-01,600.25
2008-05-01,599.25
2008-07-01,587.5
2008-08-01,568.25
2008-09-01,487.5
2008-10-01,401.5
2008-11-01,349.5
2008-12-01,407.0
2009-01-01,379.0
2009-04-01,396.25
2009-05-01,436.25
2009-06-01,347.75
2009-07-01,339.5
2009-08-01,326.25
2009-09-01,344.0
2009-10-01,366.0
2009-12-01,414.5
2010-01-01,356.5
2010-02-01,378.0
2010-03-01,345.0
2010-04-01,366.25
2010-05-01,359.0
2010-06-01,354.25
2010-07-01,392.75
2010-09-01,495.75
2010-10-01,582.0
2010-11-01,530.0
2010-12-01,629.0
2011-01-01,659.5
2011-02-01,722.5
2011-03-01,693.25
2011-04-01,754.0
2011-06-01,629.0
2011-07-01,665.5
2011-08-01,757.5
2011-09-01,592.5
2011-10-01,647.0
2011-11-01,601.25
2011-12-01,646.5
2012-02-01,656.5
2012-03-01,644.0
2012-05-01,555.25
2012-06-01,672.5
2012-08-01,802.75
2012-09-01,756.25
2012-10-01,755.75
2012-11-01,748.0
2012-12-01,698.25
2013-01-01,740.5
2013-02-01,719.5
2013-03-01,695.25
2013-04-01,683.25
2013-05-01,662.0
2013-06-01,679.25
2013-07-01,499.0
2013-08-01,495.0
2013-10-01,428.25
2013-11-01,415.25
2014-01-01,434.0
2014-02-01,457.5
2014-03-01,502.0
2014-04-01,514.0
2014-05-01,465.75
2014-07-01,357.0
2014-08-01,359.0
2014-09-01,320.75
2014-10-01,376.75
2014-11-01,375.75
2014-12-01,397.0
2015-01-01,370.0
2015-04-01,362.5
2015-05-01,351.5
2015-06-01,414.0
2015-07-01,371.0
2015-08-01,363.75
2015-09-01,387.75
2015-10-01,382.25
2015-12-01,358.75
2016-01-01,372.0
2016-02-01,353.5
2016-03-01,351.5
2016-04-01,390.25
2016-06-01,358.75
2016-07-01,334.5
2016-08-01,301.5
2016-09-01,336.75
2016-10-01,354.75
2016-11-01,336.75
2016-12-01,352.0
2017-02-01,366.75
2017-03-01,364.25
2017-04-01,358.0
2017-05-01,372.0
2017-06-01,370.5
2017-07-01,370.75
2017-08-01,342.25
2017-09-01,355.25
2017-11-01,341.75
2017-12-01,350.75
2018-01-01,361.5
2018-02-01,374.5
2018-03-01,387.75
2018-05-01,394.0
2018-06-01,350.25
2018-08-01,351.0
2018-09-01,356.25
2018-10-01,363.25
2018-11-01,366.5
2018-12-01,375.0
2019-01-01,376.5
2019-02-01,362.0
2019-03-01,356.5
2019-04-01,353.25
2019-05-01,427.0
2019-06-01,420.25
2019-07-01,400.25
2019-08-01,358.0
2019-10-01,390.0
2019-11-01,371.25
2020-01-01,381.25
2020-02-01,366.5
2020-04-01,311.5
2020-05-01,325.75
2020-06-01,338.5
2020-07-01,316.0
2020-08-01,348.5
2020-09-01,379.0
2020-10-01,398.5
2020-12-01,484.0
2021-01-01,547.0
2021-02-01,555.5
2021-03-01,564.25
2021-04-01,740.0
2021-05-01,656.75
2021-06-01,720.0
2021-07-01,547.0
2021-09-01,536.75
2021-10-01,568.25
2021-11-01,567.0
2021-12-01,593.25
2022-01-01,626.0
2022-02-01,697.5
2022-03-01,748.75
2022-04-01,818.25
2022-06-01,743.75
2022-07-01,616.25
2022-08-01,673.75
2022-09-01,677.5
2022-10-01,691.5
2022-11-01,662.0
2022-12-01,678.5
2023-02-01,629.5
2023-03-01,660.5
2023-04-01,636.0
2023-05-01,594.0
2023-06-01,554.5
2023-07-01,504.0
2023-08-01,461.0
2023-09-01,476.75
2023-11-01,461.75
2023-12-01,471.25
2024-01-01,448.25
2024-02-01,415.75
2024-03-01,442.0
2024-04-01,439.5
2024-05-01,446.25
2024-06-01,397.25
2024-07-01,382.75
2024-08-01,378.0
2024-10-01,410.75
2024-11-01,423.0
2025-01-01,482.0
2025-02-01,453.5
2025-03-01,457.25
2025-04-01,467.25
2025-05-01,444.0
2025-07-01,394.0
2025-08-01,398.0
2025-09-01,415.5
2025-10-01,431.5
2025-11-01,435.5
2025-12-01,440.25
2026-01-01,428.25
